Name,key,Style,Style Key,Brewery,Description,ABV,Ave Rating,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
Amber,251,Altbier,8,Alaskan Brewing Co.,"Notes:Richly malty and long on the palate, with just enough hop backing to make this beautiful amber colored ""alt"" style beer notably well balanced.	",5.3,3.65,25,50,13,32,9,47,74,33,0,33,57,8,111
Double Bag,252,Altbier,8,Long Trail Brewing Co.,"Notes:This malty, full-bodied double alt is also known as “Stickebier” – German slang for “secret brew”. Long Trail Double Bag was originally offered only in our brewery taproom as a special treat to our visitors. With an alcohol content of 7.2%, please indulge in moderation. The Long Trail Brewing Company is proud to have Double Bag named Malt Advocate’s “Beer of the Year” in 2001. Malt Advocate is a national magazine devoted to “expanding the boundaries of fine drinks”. Their panel of judges likes to keep things simple, and therefore of thousands of eligible competitors they award only two categories: “Imported” and “Domestic”. It is a great honor to receive this recognition.33 IBU	",7.2,3.9,25,50,12,57,18,33,55,16,0,24,35,12,84
Long Trail Ale,253,Altbier,8,Long Trail Brewing Co.,"Notes:Long Trail Ale is a full-bodied amber ale modeled after the “Alt-biers” of Düsseldorf, Germany. Our top fermenting yeast and cold finishing temperature result in a complex, yet clean, full flavor. Originally introduced in November of 1989, Long Trail Ale beer quickly became, and remains, the largest selling craft-brew in Vermont. It is a multiple medal winner at the Great American Beer Festival.25 IBU	",5,3.58,25,50,14,37,6,42,43,11,0,10,54,4,62
Doppelsticke,254,Altbier,8,Uerige Obergärige Hausbrauerei,Notes:,8.5,4.15,25,50,13,55,31,47,101,18,1,49,40,16,119
Scurry,255,Altbier,8,Off Color Brewing,"Notes:Just cause it's dark and German doesn't mean it's an alt. Based on the obscure Kottbusser style of beer, this surprisingly dry beer retains all the aroma and nuance of honey (from bees) and molasses (not from bees) creating a perception of sweetness through cool, controlled fermentation. Because we're sweet enough damn it. 18 IBU	",5.3,3.67,25,50,21,69,10,63,120,14,0,19,36,15,218
Sleigh'r Dark Doüble Alt Ale,256,Altbier,8,Ninkasi Brewing Company,"Notes:Called 'Dark Double Alt' on the label.Seize the season with Sleigh'r. Layers of deeply toasted malt are balanced by just enough hop bitterness to make it deceivingly drinkable. Paired with a dry finish, Sleigh’r is anything but your typical winter brew.An Alt ferments with Ale yeast at colder lagering temperatures. This effect gives Alts a more refined, crisp lager-like flavor than traditional ales. The Alt has been “Ninkasified” raising the ABV and IBUs. Sleigh'r has a deep, toasted malt flavor that finishes dry and balanced.50 IBU	",7.2,3.78,25,50,25,51,26,44,45,9,1,11,51,20,95
Sticke,257,Altbier,8,Uerige Obergärige Hausbrauerei,Notes:,6,4.1,25,50,22,45,13,46,62,25,1,34,60,4,103
Okto Festival Ale,258,Altbier,8,Widmer Brothers Brewing Company,"Notes:Classified as a German Altbier by the Widmer Brothers; brewed with an (ale) Alt yeast strain.availability: early Aug. - late Oct.bitterness : 28 IBUoriginal gravity: 13.5° PLATO	",5.3,3.46,25,50,28,40,3,40,58,29,0,36,54,8,97
Southampton Altbier,259,Altbier,8,Southampton Publick House,Notes:,5,3.6,25,50,18,49,5,37,73,22,0,21,37,4,98
Copper,260,Altbier,8,The Olde Mecklenburg Brewery,"Notes:OMB’s flagship, Copper, is an authentic Düsseldorf style “Altbier” or Amber Ale. There are no crazy flavors or gimmicks with Copper – its full-flavored start transitions to a smooth, balanced, easy-drinking finish. It’s the beer that tastes like beer.	",4.8,4.1,25,50,25,35,4,38,39,13,1,8,60,16,97
Organic Münster Alt,261,Altbier,8,Brauerei Pinkus Mueller,Notes:,5.1,3.7,25,50,35,31,5,35,50,55,5,52,66,8,77
Altbier,262,Altbier,8,Uerige Obergärige Hausbrauerei,"Notes:Uerige Alt is the most bittered beer in Germany. In spite of this (or just for that reason), this legendary Altbier from Düsseldorf is so full-bodied, aromatic and wholesome.Our top-fermented specialty has been brewed since 1862 from barley malt, caramel malt, roasted malt, hops, water - and with our very special Uerige yeast.Our Uerige Alt is regularly chosen among the ten best beers in Germany. It has an alcohol content of 4.7% and a minimum fresh date of eight weeks.Unser Uerige Alt wird regelmäßig unter die zehn besten Biere Deutschlands gewählt. Es hat einen Alkoholgehalt von 4,7% und ein Mindestfrischedatum von acht Wochen.	",4.7,4,25,50,34,48,9,55,59,25,1,32,68,12,121
Gerst Amber,263,Altbier,8,Yazoo Brewing Company,"Notes:Check out a piece of Nashville brewing history! Gerst Brewery was the original Nashville brewery, but never recovered after prohibition. We are excited to partner with the Chandler Family, owners of the Gerst Haus Restaurant, to bring this beer back right where it belongs – Nashville, Tennessee.This is a very “clean” beer, with mostly German malts and a hint of flaked maize, remaining as true as possible to the original Gerst recipe.11 IBUs	",5.1,3.54,25,50,10,19,1,21,30,11,4,8,24,2,65
Ad Astra Ale,264,Altbier,8,Free State Brewing Co.,"Notes:This ale is the first brewed in Kansas since pioneering days. The name ""Ad Astra comes from the Kansas State Motto - Ad Astra per Aspera, Latin words meaning ""To the Stars through Difficulties"". We've blended Pale, Caramel, and Munich malts for a rich amber beer. The hops balance this malty sweetness, and we've chosen Northern brewer and Fuggles hops for their flavor.24 IBU	",5.6,3.69,25,50,7,30,5,43,43,13,1,13,50,6,93
Doppel Sticky,265,Altbier,8,Lagunitas Brewing Company,"Notes:This fruity, estery double altbier is brewed in the traditional-ish style of the Doppelsticke, which is the widely known secret Germanic-esque strong ale. Like it's California Common counterpart, we fermented this ale at a lower temperature to pull out the sulphur-y bite from the yeast, then dry-hopped it with some dank, Sticky hops, including some brand-spankin'-new Enigma hops from the great Down Under! 66 IBUs	",7.7,4.07,25,50,24,44,27,79,73,88,2,114,92,9,51
Copperhead Ale,266,Altbier,8,Fordham Brewing Company,"Notes:The name isn’t a coincidence. This Düsseldorf style Altbier blends caramelized malted barley with pronounced hop character to create a subtle copper hue. Copperhead Ale is famous for its signature balanced flavor & impeccable smoothness.	",5.2,3.37,25,50,9,32,9,29,54,13,1,11,32,2,112
